set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;
set K2 := 1 2 3 4 5 6 7 8 9;
set R[1]:= 1 2 3 4 5 6 7 8 9 10 11 12 13 ;
set R[2]:= 1 2 3 4 5 6 7 8 9 10 11 12 ;
set R[3]:= 1 2 3 4 5 6 7 ;
set R[4]:= 1 2 3 4 5 6 7 8 9 10 11 12 ;
set R[5]:= 1 2 3 4 5 6 7 8 9 10 11 12 ;
set R[6]:= 1 2 3 4 5 6 7 8 9 ;
set R[7]:= 1 2 3 4 5 6 ;
set R[8]:= 1 2 3 4 ;
set R[9]:= 1 2 3 4 5 ;

set P2[1] := 1 2 6;
set P2[2] := 5 13;
set P2[3] := 12;
set P2[4] := 3 4;
set P2[5] := 8;
set P2[6] := 7 9;
set P2[7] := 13;
set P2[8] := 14 16;
set P2[9] := 10 11 15;

param x :     1     2     3     4     5     6     7     8     9 :=
  1   550     0     0     0     0     0     0     0     0
  2   150     0     0     0     0     0     0     0     0
  3     0     0     0  3000     0     0     0     0     0
  4     0     0     0  2500     0     0     0     0     0
  5     0  1000     0     0     0     0     0     0     0
  6   400     0     0     0     0     0     0     0     0
  7     0     0     0     0     0   300     0     0     0
  8     0     0     0     0  1000     0     0     0     0
  9     0     0     0     0     0   300     0     0     0
 10     0     0     0     0     0     0     0     0   100
 11     0     0     0     0     0     0     0     0    50
 12     0     0  1500     0     0     0     0     0     0
 13     0  8612     0     0     0     0  5388     0     0
 14     0     0     0     0     0     0     0    20     0
 15     0     0     0     0     0     0     0     0    20
 16     0     0     0     0     0     0     0    40     0 ;

param l :=
1	21600
2	21600
3	21600
4	21600
5	21600
6	18000
7	18000
8	3600
9	14400;

param t :=
1 325
2 245
3 40
4 55
5 80
6 160
7 365
8 245
9 160
10 325
11 600
12 95
13 20
14 245
15 325
16 160;
